created_at,favorite_count,id,in_reply_to_status_id,in_reply_to_user_id,retweet_count,retweeted,text,truncated,user.id,user.screen_name
Wed May 08 20:07:30 +0000 2019,0,1126217080867622912,,,0,False,"Thanks @hurstej and @pfanderson for the excessive tweeting. You beat me as always #mlanet19
Very satisfied with my… https://t.co/R0NbmFV6HM",True,20427463,wichor
Wed May 08 20:05:27 +0000 2019,2,1126216562413899783,,,0,False,At o hare to catch my 17:55 flight back to amsterdam. Will miss you guys from #mlanet19 but also very delighted to… https://t.co/4gyammx6Lg,True,20427463,wichor
Wed May 08 19:55:32 +0000 2019,0,1126214069579595776,,,3,False,"RT @evardell: ""Who's on the (health care) team and why don't we ever mention the patient as a team member?"" - Katie Watson 🙌🙌🙌 #mlanet19",False,611367496,Basia_Delawska
Wed May 08 19:55:17 +0000 2019,0,1126214005603827712,,,3,False,"RT @evardell: #mlanet19 has included references and/or performances of Rent, Cabaret, Auntie Mame, and My Fair Lady, and I LOVE it! 🎶",False,549535676,LeapYrLibrarian
Wed May 08 19:53:10 +0000 2019,0,1126213473342455813,1126170747645366273,39556136,0,False,@hurstej Thank you @hurstej for live tweeting. Your are indeed a social media influencer. Safe travels from #MLAnet19,False,961311322603425792,bgreen1005
Wed May 08 19:52:42 +0000 2019,0,1126213356443009037,,,1,False,RT @BerrymanD: Another book for white people to read: “The warmth of other suns” by Isabelle Wilkerson. #mlanet19,False,611367496,Basia_Delawska
Wed May 08 19:52:16 +0000 2019,1,1126213246464221185,1125845937694355456,5618162,0,False,@pfanderson @ChrisTheCat @ucsf_library I’ll pass that in to the LAC’20. #mlanet20 #mlanet19,False,611367496,Basia_Delawska
Wed May 08 19:50:55 +0000 2019,0,1126212905391804416,,,0,False,Tweets at #MLAnet19 https://t.co/nPysXC0c4N,False,961311322603425792,bgreen1005
Wed May 08 19:47:41 +0000 2019,0,1126212091197706240,,,1,False,"RT @pfanderson: To make change durable and sustainable, it must be coded into policy. To change policy, we must change culture @nadyaokamot…",False,875529961309970436,oponiak
Wed May 08 19:47:17 +0000 2019,0,1126211990085689346,,,1,False,RT @wichor: Maine voted against providing free menstrual products in prisons because it shouldn’t be a country club #mlanet19,False,875529961309970436,oponiak
Wed May 08 19:46:07 +0000 2019,0,1126211699466559490,,,2,False,"RT @wichor: 4 tendants for change making. 
If you want to make a change, go for it, ask quesions, respect experience and use the tools in f…",False,875529961309970436,oponiak
Wed May 08 19:40:36 +0000 2019,2,1126210311621627905,,,0,False,That’s awesome! I love finding info from sessions I missed or from different perspectives :) #mlanet19 https://t.co/OrJ3ei6vIi,False,39556136,hurstej
Wed May 08 19:36:21 +0000 2019,0,1126209239687618561,,,2,False,RT @ChrisTheCat: All elections should be ranked choice voting #mlanet19,False,875529961309970436,oponiak
Wed May 08 19:35:42 +0000 2019,0,1126209076822716416,,,6,False,RT @LibraryatNight: An unfortunate thread in the #mlanet19 plenaries are how often the speakers receive death threats for being who they ar…,False,875529961309970436,oponiak
