sender,receiver,dist
@VUMCKnowMgt,@taneya,2
@mandosally,@librarianlizy,2
@ItsKelsaB,@medlibassn,1
@MetronetMN,@umnbiomedlib,1
@mindwell1,@librarianwalker,1
@HannahC_MLIS,@beffuh,1
@LibrarianWalker,@nymclibrary,2
@LibrarianWalker,@nymedcollege,2
@GWSMHS,@himmelfarbgw,1
@GWSMHS,@gwsmhs,1
@margotmal,@nnlmner,2
@margotmal,@bangorlibrary,1
@margotmal,@mainestlibrary,1
@franknorman,@evardell,1
@himmelfarbGW,@gwsmhs,1
@mehlibrarian,@librarianlizy,2
@NNLM_RD3,@erdifo,1
@ChrisTheCat,@librarianwalker,1
@ChrisTheCat,@librarianlizy,1
@NoetheMatt,@berrymand,2
@krafty,@librarianlizy,1
@umnlib,@umnbiomedlib,1
@wichor,@itskelsab,1
@wichor,@lulu_219,3
@ChrisTheCat,@pfanderson,9
@ChrisTheCat,@jjpionke,1
@ChrisTheCat,@akaur0,4
@ChrisTheCat,@wonderbrarian,1
@ChrisTheCat,@bevmurph005,2
@ChrisTheCat,@medlibassn,4
@ChrisTheCat,@schnitzr,1
@ChrisTheCat,@ajaggers324,1
@ChrisTheCat,@noethematt,1
@pepid_llc,@brenda_linares,1
@ChelseaMisquith,@angspenc,1
@ChelseaMisquith,@medlibassn,2
@noisy_nora,@evardell,1
@noisy_nora,@mandosally,1
@SLANewYork,@podcastlib,1
@ChelseaMisquith,@referencediva,1
@mnfratta,@meansell,1
@mnfratta,@ufcjclibrarian,1
@mnfratta,@lisabouff,1
@mnfratta,@cait_reads,1
@krafty,@third_iron,3
@Anne_InfoSpec,@rylolh,1
@kaykayh,@valeriegp,1
@p2173,@jaireeo,1
@p2173,@libris_fidelis,1
@scholarlykitchn,@lisalibrarian,1
@scholarlykitchn,@publons,1
@pfanderson,@jaireeo,1
@pfanderson,@libris_fidelis,9
@pepid_llc,@medlibassn,1
@pfanderson,@libkristin,1
@pfanderson,@pattibuk,1
@pfanderson,@franknorman,1
@meansell,@wowbao,1
@pfanderson,@silentsstars,1
@pfanderson,@meansell,18
@pfanderson,@pat_devine,7
